iter	Passed	Remaining
864	8972	1400
865	8981	1389
866	8993	1379
867	9004	1369
868	9014	1358
869	9026	1348
870	9036	1338
871	9046	1327
872	9055	1317
873	9066	1307
874	9076	1296
875	9085	1286
876	9097	1275
877	9109	1265
878	9120	1255
879	9129	1244
880	9139	1234
881	9150	1224
882	9160	1213
883	9170	1203
884	9180	1193
885	9190	1182
886	9201	1172
887	9211	1161
888	9222	1151
889	9233	1141
890	9244	1130
891	9255	1120
892	9266	1110
893	9275	1099
894	9285	1089
895	9296	1079
896	9306	1068
897	9317	1058
898	9328	1048
899	9338	1037
900	9348	1027
901	9359	1016
902	9370	1006
903	9381	996
904	9390	985
905	9399	975
906	9410	964
907	9421	954
908	9432	944
909	9443	933
910	9453	923
911	9463	913
912	9473	902
913	9484	892
914	9495	882
915	9506	871
916	9516	861
917	9527	851
918	9538	840
919	9550	830
920	9561	820
921	9568	809
922	9578	799
923	9590	788
924	9601	778
925	9611	768
926	9621	757
927	9632	747
928	9643	737
929	9654	726
930	9665	716
931	9676	706
932	9686	695
933	9697	685
934	9707	674
935	9717	664
936	9729	654
937	9739	643
938	9750	633
939	9760	623
940	9771	612
941	9783	602
942	9794	592
943	9805	581
944	9816	571
945	9828	561
946	9838	550
947	9846	540
948	9857	529
949	9867	519
950	9877	508
951	9887	498
952	9896	488
953	9908	477
954	9918	467
955	9928	456
956	9938	446
957	9950	436
958	9960	425
959	9971	415
960	9981	405
961	9991	394
962	10001	384
963	10012	373
964	10022	363
965	10032	353
966	10043	342
967	10053	332
968	10063	321
969	10074	311
970	10085	301
971	10096	290
972	10107	280
973	10118	270
974	10128	259
975	10138	249
976	10148	238
977	10158	228
978	10170	218
979	10182	207
980	10192	197
981	10202	187
982	10212	176
983	10220	166
984	10231	155
985	10242	145
986	10252	135
987	10262	124
988	10273	114
989	10283	103
990	10292	93
991	10303	83
992	10312	72
993	10324	62
994	10334	51
995	10344	41
996	10354	31
997	10364	20
998	10376	10
999	10388	0
